model_label,model_code,ref_label,ref_percent,bps_name
10110_27_Developed,10110_27,Developed,0,Rocky Mountain Aspen Forest and Woodland
10110_27_Water,10110_27,Water,0,Rocky Mountain Aspen Forest and Woodland
10110_27_UN,10110_27,UN,0,Rocky Mountain Aspen Forest and Woodland
10110_27_UE,10110_27,UE,0,Rocky Mountain Aspen Forest and Woodland
10110_28_A,10110_28,A,7,Rocky Mountain Aspen Forest and Woodland
10110_28_B,10110_28,B,35,Rocky Mountain Aspen Forest and Woodland
10110_28_C,10110_28,C,58,Rocky Mountain Aspen Forest and Woodland
10110_28_D,10110_28,D,NA,Rocky Mountain Aspen Forest and Woodland
10110_28_E,10110_28,E,NA,Rocky Mountain Aspen Forest and Woodland
10110_28_Agriculture,10110_28,Agriculture,0,Rocky Mountain Aspen Forest and Woodland
10110_28_Developed,10110_28,Developed,0,Rocky Mountain Aspen Forest and Woodland
10110_28_Water,10110_28,Water,0,Rocky Mountain Aspen Forest and Woodland
10110_28_UN,10110_28,UN,0,Rocky Mountain Aspen Forest and Woodland
10110_28_UE,10110_28,UE,0,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_A,10110_6_10_12_17_18_19,A,14,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_B,10110_6_10_12_17_18_19,B,40,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_C,10110_6_10_12_17_18_19,C,45,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_D,10110_6_10_12_17_18_19,D,1,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_E,10110_6_10_12_17_18_19,E,NA,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_Agriculture,10110_6_10_12_17_18_19,Agriculture,0,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_Developed,10110_6_10_12_17_18_19,Developed,0,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_Water,10110_6_10_12_17_18_19,Water,0,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_UN,10110_6_10_12_17_18_19,UN,0,Rocky Mountain Aspen Forest and Woodland
10110_6_10_12_17_18_19_UE,10110_6_10_12_17_18_19,UE,0,Rocky Mountain Aspen Forest and Woodland
10110_7_A,10110_7,A,27,Rocky Mountain Aspen Forest and Woodland
10110_7_B,10110_7,B,18,Rocky Mountain Aspen Forest and Woodland
10110_7_C,10110_7,C,18,Rocky Mountain Aspen Forest and Woodland
10110_7_D,10110_7,D,24,Rocky Mountain Aspen Forest and Woodland
10110_7_E,10110_7,E,13,Rocky Mountain Aspen Forest and Woodland
10110_7_Agriculture,10110_7,Agriculture,0,Rocky Mountain Aspen Forest and Woodland
10110_7_Developed,10110_7,Developed,0,Rocky Mountain Aspen Forest and Woodland
10110_7_Water,10110_7,Water,0,Rocky Mountain Aspen Forest and Woodland
10110_7_UN,10110_7,UN,0,Rocky Mountain Aspen Forest and Woodland
10110_7_UE,10110_7,UE,0,Rocky Mountain Aspen Forest and Woodland
10110_9_A,10110_9,A,48,Rocky Mountain Aspen Forest and Woodland
10110_9_B,10110_9,B,22,Rocky Mountain Aspen Forest and Woodland
10110_9_C,10110_9,C,13,Rocky Mountain Aspen Forest and Woodland
10110_9_D,10110_9,D,14,Rocky Mountain Aspen Forest and Woodland
10110_9_E,10110_9,E,3,Rocky Mountain Aspen Forest and Woodland
10110_9_Agriculture,10110_9,Agriculture,0,Rocky Mountain Aspen Forest and Woodland
10110_9_Developed,10110_9,Developed,0,Rocky Mountain Aspen Forest and Woodland
10110_9_Water,10110_9,Water,0,Rocky Mountain Aspen Forest and Woodland
10110_9_UN,10110_9,UN,0,Rocky Mountain Aspen Forest and Woodland
10110_9_UE,10110_9,UE,0,Rocky Mountain Aspen Forest and Woodland
10120_16_27_A,10120_16_27,A,8,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_B,10120_16_27,B,18,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_C,10120_16_27,C,74,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_D,10120_16_27,D,NA,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_E,10120_16_27,E,NA,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_Agriculture,10120_16_27,Agriculture,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_Developed,10120_16_27,Developed,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_Water,10120_16_27,Water,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_UN,10120_16_27,UN,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_16_27_UE,10120_16_27,UE,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_A,10120_17_18_21,A,8,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_B,10120_17_18_21,B,18,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_C,10120_17_18_21,C,74,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_D,10120_17_18_21,D,NA,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_E,10120_17_18_21,E,NA,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_Agriculture,10120_17_18_21,Agriculture,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_Developed,10120_17_18_21,Developed,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_Water,10120_17_18_21,Water,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_UN,10120_17_18_21,UN,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10120_17_18_21_UE,10120_17_18_21,UE,0,Rocky Mountain Bigtooth Maple Ravine Woodland
10130_31_38_39_40_A,10130_31_38_39_40,A,18,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_B,10130_31_38_39_40,B,17,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_C,10130_31_38_39_40,C,35,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_D,10130_31_38_39_40,D,30,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_E,10130_31_38_39_40,E,NA,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_Agriculture,10130_31_38_39_40,Agriculture,0,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_Developed,10130_31_38_39_40,Developed,0,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_Water,10130_31_38_39_40,Water,0,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_UN,10130_31_38_39_40,UN,0,Western Great Plains Dry Bur Oak Forest and Woodland
10130_31_38_39_40_UE,10130_31_38_39_40,UE,0,Western Great Plains Dry Bur Oak Forest and Woodland
10140_4_5_A,10140_4_5,A,7,Central and Southern California Mixed Evergreen Woodland
10140_4_5_B,10140_4_5,B,47,Central and Southern California Mixed Evergreen Woodland
10140_4_5_C,10140_4_5,C,46,Central and Southern California Mixed Evergreen Woodland
10140_4_5_D,10140_4_5,D,NA,Central and Southern California Mixed Evergreen Woodland
10140_4_5_E,10140_4_5,E,NA,Central and Southern California Mixed Evergreen Woodland
10140_4_5_Agriculture,10140_4_5,Agriculture,0,Central and Southern California Mixed Evergreen Woodland
10140_4_5_Developed,10140_4_5,Developed,0,Central and Southern California Mixed Evergreen Woodland
10140_4_5_Water,10140_4_5,Water,0,Central and Southern California Mixed Evergreen Woodland
10140_4_5_UN,10140_4_5,UN,0,Central and Southern California Mixed Evergreen Woodland
10140_4_5_UE,10140_4_5,UE,0,Central and Southern California Mixed Evergreen Woodland
10150_2_3_4_A,10150_2_3_4,A,1,California Coastal Redwood Forest
10150_2_3_4_B,10150_2_3_4,B,7,California Coastal Redwood Forest
10150_2_3_4_C,10150_2_3_4,C,92,California Coastal Redwood Forest
10150_2_3_4_D,10150_2_3_4,D,NA,California Coastal Redwood Forest
