VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
2331,16141,72,16141_72,Western North American Boreal Montane Floodplain Forest and Shrubland-Boreal,Conifer-Hardwood,5000,312,-9999,294,6,94,-9999,V-A,127,255,211,0.498039,1,0.827451
2332,16150,72,16150_72,Western North American Boreal Lowland Large River Floodplain Forest and Shrubland,Conifer-Hardwood,9999,303,-9999,294,3,97,-9999,V-A,117,249,211,0.458824,0.976471,0.827451
2333,16160,72,16160_72,Western North American Boreal Riparian Stringer Forest and Shrubland,Riparian,435,244,-9999,156,36,64,-9999,III-B,109,242,209,0.427451,0.94902,0.819608
2334,16170,72,16170_72,Western North American Boreal Shrub and Herbaceous Floodplain Wetland,Peatland non-forest,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99,242,209,0.388235,0.94902,0.819608
2335,16211,72,16211_72,Western North American Boreal Black Spruce Dwarf-tree Peatland-Boreal Complex,Peatland Forest,134,728,-9999,113,84,16,-9999,IV-B,63,224,209,0.247059,0.878431,0.819608
2336,16220,72,16220_72,Western North American Boreal Black Spruce Wet-Mesic Slope Woodland,Peatland Forest,164,141,-9999,76,46,54,-9999,III-A,160,33,239,0.627451,0.129412,0.937255
2337,16240,72,16240_72,Western North American Boreal Deciduous Shrub Swamp,Riparian,496,-9999,-9999,496,100,-9999,-9999,V-A,237,130,237,0.929412,0.509804,0.929412
2338,16280,72,16280_72,Western North American Boreal Low Shrub-Tussock Tundra,Peatland non-forest,180,9999,-9999,177,98,2,-9999,IV-B,239,255,239,0.937255,1,0.937255
2339,16290,72,16290_72,Western North American Boreal Tussock Tundra,Peatland non-forest,175,-9999,-9999,175,100,-9999,-9999,IV-B,226,242,226,0.886275,0.94902,0.886275
2340,16300,72,16300_72,Western North American Boreal Wet Black Spruce-Tussock Woodland,Peatland Forest,152,667,-9999,124,81,19,-9999,IV-B,216,229,216,0.847059,0.898039,0.847059
