TransitionGroupID,Model_Code,mean_amount,annual_probability,BpS_Name
All Transitions,11090_14,2.87,0.00287,Sonoran Paloverde-Mixed Cacti Desert Scrub
All Transitions,11090_15_25,2.8654,0.0028654,Sonoran Paloverde-Mixed Cacti Desert Scrub
All Transitions,11090_4_13,2.675,0.002675,Sonoran Paloverde-Mixed Cacti Desert Scrub
All Transitions,11100_4,19.8466,0.0198466,Southern California Dry-Mesic Chaparral
All Transitions,11110_26,230.3592,0.2303592,Western Great Plains Mesquite Woodland and Shrubland
All Transitions,11110_27_33,163.3804,0.1633804,Western Great Plains Mesquite Woodland and Shrubland
All Transitions,11110_32_35,151.4588,0.1514588,Western Great Plains Mesquite Woodland and Shrubland
All Transitions,11110_34,229.8388,0.2298388,Western Great Plains Mesquite Woodland and Shrubland
All Transitions,11120_4_5,94.0812,0.0940812,California Central Valley Mixed Oak Savanna
All Transitions,11130_3,96.772,0.096772,California Coastal Live Oak Woodland and Savanna
All Transitions,11130_4,97.7152,0.0977152,California Coastal Live Oak Woodland and Savanna
All Transitions,11140_3_6_7,117.3282,0.1173282,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna
All Transitions,11140_4_5,94.207,0.094207,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna
All Transitions,11150_10_19,5.3554,0.0053554,Inter-Mountain Basins Juniper Savanna
All Transitions,11150_13,5.3602,0.0053602,Inter-Mountain Basins Juniper Savanna
All Transitions,11150_14,5.3178,0.0053178,Inter-Mountain Basins Juniper Savanna
All Transitions,11150_15_16_23_24,15.4166,0.0154166,Inter-Mountain Basins Juniper Savanna
All Transitions,11150_17,5.3592,0.0053592,Inter-Mountain Basins Juniper Savanna
All Transitions,11150_21_22,15.4206,0.0154206,Inter-Mountain Basins Juniper Savanna
All Transitions,11150_28,8.8816,0.0088816,Inter-Mountain Basins Juniper Savanna
All Transitions,11160_15_25,27.4268,0.0274268,Madrean Juniper Savanna
All Transitions,11160_24,26.9784,0.0269784,Madrean Juniper Savanna
All Transitions,11160_26,110.1772,0.1101772,Madrean Juniper Savanna
All Transitions,11170_13_15_28,95.1214,0.0951214,Southern Rocky Mountain Ponderosa Pine Savanna
All Transitions,11170_16_23_24,126.6146,0.1266146,Southern Rocky Mountain Ponderosa Pine Savanna
All Transitions,11170_20,80.0408,0.0800408,Southern Rocky Mountain Ponderosa Pine Savanna
All Transitions,11170_29,90.7084,0.0907084,Southern Rocky Mountain Ponderosa Pine Savanna
All Transitions,11170_33,216.805,0.216805,Southern Rocky Mountain Ponderosa Pine Savanna
All Transitions,11171_27,227.373,0.227373,Southern Rocky Mountain Ponderosa Pine Savanna - South
All Transitions,11172_27,211.6114,0.2116114,Southern Rocky Mountain Ponderosa Pine Savanna - North
All Transitions,11180_4,66.3988,0.0663988,Southern California Oak Woodland and Savanna
All Transitions,11190_24_25,43.8442,0.0438442,Southern Rocky Mountain Juniper Woodland and Savanna
All Transitions,11190_26,106.6496,0.1066496,Southern Rocky Mountain Juniper Woodland and Savanna
All Transitions,11190_27,43.9648,0.0439648,Southern Rocky Mountain Juniper Woodland and Savanna
All Transitions,11190_28,43.6426,0.0436426,Southern Rocky Mountain Juniper Woodland and Savanna
All Transitions,11190_34,30.2472,0.0302472,Southern Rocky Mountain Juniper Woodland and Savanna
All Transitions,11200_1_2_7,113.9364,0.1139364,Willamette Valley Upland Prairie and Savanna
All Transitions,11210_14,128.5166,0.1285166,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
All Transitions,11210_15,126.2176,0.1262176,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
All Transitions,11210_24,123.8776,0.1238776,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
All Transitions,11210_25,28.9696,0.0289696,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
All Transitions,11210_26,114.7494,0.1147494,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
All Transitions,11210_27,103.0542,0.1030542,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe
All Transitions,11220_25,20.1836,0.0201836,Chihuahuan Gypsophilous Grassland and Steppe
All Transitions,11220_26,19.8436,0.0198436,Chihuahuan Gypsophilous Grassland and Steppe
All Transitions,11220_27,807.4418,0.8074418,Chihuahuan Gypsophilous Grassland and Steppe
All Transitions,11230_1_7_8_9,33.5908,0.0335908,Columbia Plateau Steppe and Grassland
All Transitions,11230_10_18,41.8364,0.0418364,Columbia Plateau Steppe and Grassland
All Transitions,11240_1_7_8_9,25.62,0.02562,Columbia Plateau Low Sagebrush Steppe
All Transitions,11240_10_12_17_18_19_21,6.8562,0.0068562,Columbia Plateau Low Sagebrush Steppe
All Transitions,11250_1_7_8_9_10_19,50.1482,0.0501482,Inter-Mountain Basins Big Sagebrush Steppe
All Transitions,11250_20_29_30_31_33,122.5014,0.1225014,Inter-Mountain Basins Big Sagebrush Steppe
All Transitions,11250_6_12_13_15_16_17_18_23_24_25_28,31.5482,0.0315482,Inter-Mountain Basins Big Sagebrush Steppe
All Transitions,11260_1_7_8_9_10_19,87.5092,0.0875092,Inter-Mountain Basins Montane Sagebrush Steppe
All Transitions,11260_13,27.5046,0.0275046,Inter-Mountain Basins Montane Sagebrush Steppe
All Transitions,11260_20_29_33,35.8164,0.0358164,Inter-Mountain Basins Montane Sagebrush Steppe
All Transitions,11260_21,36.2678,0.0362678,Inter-Mountain Basins Montane Sagebrush Steppe
All Transitions,11260_22,16.402,0.016402,Inter-Mountain Basins Montane Sagebrush Steppe
All Transitions,11260_6_12_17_18_28,26.8572,0.0268572,Inter-Mountain Basins Montane Sagebrush Steppe
All Transitions,11261_16_23_24,27.5182,0.0275182,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush
All Transitions,11262_16_23,4.6356,0.0046356,Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush
All Transitions,11270_10_12_13_17_18,17.9622,0.0179622,Inter-Mountain Basins Semi-Desert Shrub-Steppe
All Transitions,11270_14,17.7794,0.0177794,Inter-Mountain Basins Semi-Desert Shrub-Steppe
All Transitions,11270_15,125.2672,0.1252672,Inter-Mountain Basins Semi-Desert Shrub-Steppe
All Transitions,11270_16_23_24_25,124.1012,0.1241012,Inter-Mountain Basins Semi-Desert Shrub-Steppe
All Transitions,11270_21,11.318,0.011318,Inter-Mountain Basins Semi-Desert Shrub-Steppe
All Transitions,11270_22,54.0118,0.0540118,Inter-Mountain Basins Semi-Desert Shrub-Steppe
All Transitions,11270_28,124.5286,0.1245286,Inter-Mountain Basins Semi-Desert Shrub-Steppe
All Transitions,11270_7_8_9,18.3388,0.0183388,Inter-Mountain Basins Semi-Desert Shrub-Steppe
All Transitions,11280_2_3_4,17.3328,0.0173328,Northern California Coastal Scrub
All Transitions,11290_4_5,264.8382,0.2648382,California Central Valley and Southern Coastal Grassland
All Transitions,11300_3_4,151.6286,0.1516286,California Mesic Serpentine Grassland
All Transitions,11310_2_3_4,542.2356,0.5422356,California Northern Coastal Grassland
All Transitions,11320_31_38,696.1772,0.6961772,Central Mixedgrass Prairie
All Transitions,11320_32_34_35,300.6404,0.3006404,Central Mixedgrass Prairie
All Transitions,11320_33,773.3928,0.7733928,Central Mixedgrass Prairie
All Transitions,11330_25,86.248,0.086248,Chihuahuan Sandy Plains Semi-Desert Grassland
All Transitions,11340_10,71.1422,0.0711422,Columbia Basin Foothill and Canyon Dry Grassland
All Transitions,11340_8_9,137.6996,0.1376996,Columbia Basin Foothill and Canyon Dry Grassland
All Transitions,11350_13_14,39.8178,0.0398178,Inter-Mountain Basins Semi-Desert Grassland
All Transitions,11350_15_28,61.9654,0.0619654,Inter-Mountain Basins Semi-Desert Grassland
All Transitions,11350_16_23_24,59.9554,0.0599554,Inter-Mountain Basins Semi-Desert Grassland
All Transitions,11350_22,62.3596,0.0623596,Inter-Mountain Basins Semi-Desert Grassland
All Transitions,11350_25,62.1752,0.0621752,Inter-Mountain Basins Semi-Desert Grassland
All Transitions,11350_7_8_9_10_12_17_18,31.372,0.031372,Inter-Mountain Basins Semi-Desert Grassland
All Transitions,11360_6,15.7694,0.0157694,Mediterranean California Alpine Dry Tundra
All Transitions,11370_3_6,30.8292,0.0308292,Mediterranean California Subalpine Meadow
All Transitions,11380_1,1.3112,0.0013112,North Pacific Montane Grassland
All Transitions,11380_3_5,15.8596,0.0158596,North Pacific Montane Grassland
All Transitions,11380_6,61.9502,0.0619502,North Pacific Montane Grassland
All Transitions,11390_10_19,57.9514,0.0579514,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
All Transitions,11390_18,19.7352,0.0197352,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
All Transitions,11390_20,316.4398,0.3164398,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
All Transitions,11390_21,31.2214,0.0312214,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
All Transitions,11390_22,127.053,0.127053,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
All Transitions,11390_29,297.0852,0.2970852,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
All Transitions,11390_8_9,243.3464,0.2433464,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
All Transitions,11400_10_19,6.937,0.006937,Northern Rocky Mountain Subalpine-Upper Montane Grassland
All Transitions,11400_20,12.651,0.012651,Northern Rocky Mountain Subalpine-Upper Montane Grassland
All Transitions,11400_21,4.9054,0.0049054,Northern Rocky Mountain Subalpine-Upper Montane Grassland
All Transitions,11400_29,12.4844,0.0124844,Northern Rocky Mountain Subalpine-Upper Montane Grassland
All Transitions,11400_9,4.814,0.004814,Northern Rocky Mountain Subalpine-Upper Montane Grassland
All Transitions,11410_20,290.4774,0.2904774,Northwestern Great Plains Mixedgrass Prairie
All Transitions,11410_29_30,307.054,0.307054,Northwestern Great Plains Mixedgrass Prairie
All Transitions,11410_31,659.6032,0.6596032,Northwestern Great Plains Mixedgrass Prairie
All Transitions,11410_39,660.055,0.660055,Northwestern Great Plains Mixedgrass Prairie
All Transitions,11410_40,675.9748,0.6759748,Northwestern Great Plains Mixedgrass Prairie
All Transitions,11420_8,58.137,0.058137,Columbia Basin Palouse Prairie
All Transitions,11420_9_10,40.4454,0.0404454,Columbia Basin Palouse Prairie
All Transitions,11430_9_19_21_28,5.7092,0.0057092,Rocky Mountain Alpine Fell-Field
All Transitions,11440_12_16_19_28,15.2438,0.0152438,Rocky Mountain Alpine Turf
All Transitions,11440_21_22,12.7984,0.0127984,Rocky Mountain Alpine Turf
All Transitions,11450_13,31.1276,0.0311276,Rocky Mountain Subalpine-Montane Mesic Meadow
All Transitions,11450_16,31.3328,0.0313328,Rocky Mountain Subalpine-Montane Mesic Meadow
All Transitions,11450_17,25.3208,0.0253208,Rocky Mountain Subalpine-Montane Mesic Meadow
All Transitions,11450_20,11.7726,0.0117726,Rocky Mountain Subalpine-Montane Mesic Meadow
All Transitions,11450_21,24.6642,0.0246642,Rocky Mountain Subalpine-Montane Mesic Meadow
All Transitions,11450_22_24_28,30.8498,0.0308498,Rocky Mountain Subalpine-Montane Mesic Meadow
All Transitions,11450_29,11.7916,0.0117916,Rocky Mountain Subalpine-Montane Mesic Meadow
All Transitions,11450_9_10_19,31.1004,0.0311004,Rocky Mountain Subalpine-Montane Mesic Meadow
All Transitions,11460_15_16_23_24_25_28,148.2314,0.1482314,Southern Rocky Mountain Montane-Subalpine Grassland
All Transitions,11460_27,43.5502,0.0435502,Southern Rocky Mountain Montane-Subalpine Grassland
All Transitions,11470_27_33,673.3912,0.6733912,Western Great Plains Foothill and Piedmont Grassland
All Transitions,11470_28,136.9328,0.1369328,Western Great Plains Foothill and Piedmont Grassland
All Transitions,11480_20_29_30,191.1714,0.1911714,Western Great Plains Sand Prairie
All Transitions,11480_31_38,358.4416,0.3584416,Western Great Plains Sand Prairie
All Transitions,11480_32,289.2608,0.2892608,Western Great Plains Sand Prairie
All Transitions,11480_34_35,413.228,0.413228,Western Great Plains Sand Prairie
All Transitions,11490_25,101.1736,0.1011736,Western Great Plains Shortgrass Prairie
All Transitions,11490_26,407.5148,0.4075148,Western Great Plains Shortgrass Prairie
All Transitions,11490_27_38,738.407,0.738407,Western Great Plains Shortgrass Prairie
All Transitions,11490_28,154.7212,0.1547212,Western Great Plains Shortgrass Prairie
All Transitions,11490_29,706.8978,0.7068978,Western Great Plains Shortgrass Prairie
All Transitions,11490_31_33,694.5706,0.6945706,Western Great Plains Shortgrass Prairie
All Transitions,11490_34_35,415.1606,0.4151606,Western Great Plains Shortgrass Prairie
All Transitions,11500_31_39_40,594.5456,0.5945456,Western Great Plains Tallgrass Prairie
All Transitions,11500_38,690.3066,0.6903066,Western Great Plains Tallgrass Prairie
All Transitions,11510_4_5,1012.9,1.0129,California Central Valley Riparian Woodland and Shrubland
All Transitions,11520_2_3_7,156.95,0.15695,California Montane Riparian Systems
All Transitions,11520_4_5,186.1744,0.1861744,California Montane Riparian Systems
All Transitions,11520_6,211.9174,0.2119174,California Montane Riparian Systems
All Transitions,11530_16_23_24_25_27,18.3694,0.0183694,Inter-Mountain Basins Greasewood Flat
All Transitions,11530_20_22_29_30,17.7452,0.0177452,Inter-Mountain Basins Greasewood Flat
All Transitions,11530_28,18.931,0.018931,Inter-Mountain Basins Greasewood Flat
All Transitions,11530_6_10_12_13_17_18_19_21,7.809,0.007809,Inter-Mountain Basins Greasewood Flat
All Transitions,11530_7_8_9,7.522,0.007522,Inter-Mountain Basins Greasewood Flat
All Transitions,11540_1_7_8_9,132.0054,0.1320054,Inter-Mountain Basins Montane Riparian Systems
All Transitions,11540_10_19,311.4532,0.3114532,Inter-Mountain Basins Montane Riparian Systems
All Transitions,11540_13,195.9826,0.1959826,Inter-Mountain Basins Montane Riparian Systems
All Transitions,11540_18,301.8916,0.3018916,Inter-Mountain Basins Montane Riparian Systems
All Transitions,11540_6_12_16_17,198.9494,0.1989494,Inter-Mountain Basins Montane Riparian Systems
All Transitions,11550_13_14,261.1196,0.2611196,North American Warm Desert Riparian Systems
All Transitions,11550_15,82.1788,0.0821788,North American Warm Desert Riparian Systems
All Transitions,11550_25,22.5292,0.0225292,North American Warm Desert Riparian Systems
All Transitions,11550_26_35,170.0858,0.1700858,North American Warm Desert Riparian Systems
All Transitions,11550_4,119.4948,0.1194948,North American Warm Desert Riparian Systems
All Transitions,11552_13_14_15,121.0242,0.1210242,North American Warm Desert Riparian Systems - Stringers
All Transitions,11560_1_2_7,44.4996,0.0444996,North Pacific Lowland Riparian Forest and Shrubland
All Transitions,11570_1_2,13.1142,0.0131142,North Pacific Swamp Systems
All Transitions,11581_1_2_7,186.6278,0.1866278,North Pacific Montane Riparian Woodland and Shrubland - Wet
All Transitions,11582_1_2_7,196.1364,0.1961364,North Pacific Montane Riparian Woodland and Shrubland - Dry
All Transitions,11590_10_19,239.7772,0.2397772,Rocky Mountain Montane Riparian Systems
All Transitions,11590_12_17,208.1544,0.2081544,Rocky Mountain Montane Riparian Systems
All Transitions,11590_13,198.5404,0.1985404,Rocky Mountain Montane Riparian Systems
All Transitions,11590_15,358.0462,0.3580462,Rocky Mountain Montane Riparian Systems
All Transitions,11590_16_23_24_26,414.9928,0.4149928,Rocky Mountain Montane Riparian Systems
All Transitions,11590_18,311.6166,0.3116166,Rocky Mountain Montane Riparian Systems
All Transitions,11590_20,326.4548,0.3264548,Rocky Mountain Montane Riparian Systems
All Transitions,11590_21,295.661,0.295661,Rocky Mountain Montane Riparian Systems
All Transitions,11590_22,407.0448,0.4070448,Rocky Mountain Montane Riparian Systems
All Transitions,11590_25,405.4384,0.4054384,Rocky Mountain Montane Riparian Systems
All Transitions,11590_27_33,406.246,0.406246,Rocky Mountain Montane Riparian Systems
All Transitions,11590_28,400.1056,0.4001056,Rocky Mountain Montane Riparian Systems
All Transitions,11590_29,267.813,0.267813,Rocky Mountain Montane Riparian Systems
All Transitions,11590_8_9,239.6542,0.2396542,Rocky Mountain Montane Riparian Systems
All Transitions,11600_10_19,309.8104,0.3098104,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11600_12_17,402.2254,0.4022254,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11600_15_28,407.0216,0.4070216,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11600_16,399.8806,0.3998806,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11600_18,330.7218,0.3307218,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11600_20_29,403.0116,0.4030116,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11600_21,165.7962,0.1657962,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11600_23,415.173,0.415173,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11600_8_9,317.0866,0.3170866,Rocky Mountain Subalpine/Upper Montane Riparian Systems
All Transitions,11610_21,13.0104,0.0130104,Northern Rocky Mountain Conifer Swamp
All Transitions,11610_9_10_19,2.6262,0.0026262,Northern Rocky Mountain Conifer Swamp
All Transitions,11620_20,79.505,0.079505,Western Great Plains Floodplain Systems
All Transitions,11620_22,51.3938,0.0513938,Western Great Plains Floodplain Systems
All Transitions,11620_27_33,210.517,0.210517,Western Great Plains Floodplain Systems
All Transitions,11620_29_30,78.7928,0.0787928,Western Great Plains Floodplain Systems
All Transitions,11620_31_39_40,91.1832,0.0911832,Western Great Plains Floodplain Systems
All Transitions,11620_32_35,82.256,0.082256,Western Great Plains Floodplain Systems
All Transitions,11620_34,192.3674,0.1923674,Western Great Plains Floodplain Systems
All Transitions,11620_38,91.5576,0.0915576,Western Great Plains Floodplain Systems
All Transitions,11630_3_4_5,97.5654,0.0975654,Pacific Coastal Marsh Systems
All Transitions,11650_1_7_8,19.6084,0.0196084,Northern Rocky Mountain Foothill Conifer Wooded Steppe
All Transitions,11650_9,87.1952,0.0871952,Northern Rocky Mountain Foothill Conifer Wooded Steppe
All Transitions,11660_21,94.515,0.094515,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
All Transitions,11660_22,118.581,0.118581,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
All Transitions,11660_29,96.3424,0.0963424,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
All Transitions,11660_9_10_19,58.4534,0.0584534,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
All Transitions,11662_19,87.0262,0.0870262,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna
All Transitions,11670_1_7_9,31.3332,0.0313332,Rocky Mountain Poor-Site Lodgepole Pine Forest
All Transitions,11670_10_19,5.2118,0.0052118,Rocky Mountain Poor-Site Lodgepole Pine Forest
All Transitions,11670_21,10.3368,0.0103368,Rocky Mountain Poor-Site Lodgepole Pine Forest
All Transitions,11700_2_3_7,76.4278,0.0764278,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral
All Transitions,11710_1,1.998,0.001998,North Pacific Alpine and Subalpine Dry Grassland
All Transitions,11710_7,4.9202,0.0049202,North Pacific Alpine and Subalpine Dry Grassland
All Transitions,11720_7,57.8594,0.0578594,Sierran-Intermontane Desert Western White Pine-White Fir Woodland
All Transitions,11730_1_7,2.0112,0.0020112,North Pacific Wooded Volcanic Flowage
All Transitions,11740_1_7,7.4206,0.0074206,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest
All Transitions,11770_3,45.7394,0.0457394,California Coastal Closed-Cone Conifer Forest and Woodland
All Transitions,11770_4,27.832,0.027832,California Coastal Closed-Cone Conifer Forest and Woodland
All Transitions,11780_1_2_7,10.1262,0.0101262,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest
All Transitions,11790_31,80.6764,0.0806764,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna
All Transitions,11791_29_30,99.4262,0.0994262,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland
All Transitions,11792_29_30,88.4784,0.0884784,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna
All Transitions,13010_40,23.6062,0.0236062,Boreal Aspen-Birch Forest
All Transitions,13020_40,1.6138,0.0016138,Laurentian-Acadian Northern Hardwoods Forest
All Transitions,13020_63,1.8532,0.0018532,Laurentian-Acadian Northern Hardwoods Forest
All Transitions,13020_64,1.8594,0.0018594,Laurentian-Acadian Northern Hardwoods Forest
All Transitions,13020_65_66,19.7588,0.0197588,Laurentian-Acadian Northern Hardwoods Forest
All Transitions,13022_41_50_51,1.7866,0.0017866,Laurentian-Acadian Northern Hardwoods Forest - Hemlock
All Transitions,13023_51,2.7784,0.0027784,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood
All Transitions,13030_60,274.4134,0.2744134,Northeastern Interior Dry-Mesic Oak Forest
All Transitions,13030_61_63_64_65_66,194.0468,0.1940468,Northeastern Interior Dry-Mesic Oak Forest
All Transitions,13030_62,179.2412,0.1792412,Northeastern Interior Dry-Mesic Oak Forest
All Transitions,13040_32_43_44_49,102.2102,0.1022102,Ozark-Ouachita Dry-Mesic Oak Forest
All Transitions,13050_47_48,306.2046,0.3062046,Southern Interior Low Plateau Dry-Mesic Oak Forest
All Transitions,13050_49,137.4006,0.1374006,Southern Interior Low Plateau Dry-Mesic Oak Forest
All Transitions,13050_53,661.755,0.661755,Southern Interior Low Plateau Dry-Mesic Oak Forest
All Transitions,13060_47_48,143.6086,0.1436086,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland
All Transitions,13070_46_47_48,150.9842,0.1509842,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest
All Transitions,13080_32_35,222.2614,0.2222614,Crosstimbers Oak Forest and Woodland
All Transitions,13080_38_43_44,220.648,0.220648,Crosstimbers Oak Forest and Woodland
All Transitions,13090_53_57,21.968,0.021968,Southern Appalachian Northern Hardwood Forest
All Transitions,13100_38_42_43,43.113,0.043113,North-Central Interior Dry-Mesic Oak Forest and Woodland
All Transitions,13100_39,81.6344,0.0816344,North-Central Interior Dry-Mesic Oak Forest and Woodland
All Transitions,13100_41_62,111.6236,0.1116236,North-Central Interior Dry-Mesic Oak Forest and Woodland
All Transitions,13100_44_50,44.0268,0.0440268,North-Central Interior Dry-Mesic Oak Forest and Woodland
All Transitions,13100_47,116.3166,0.1163166,North-Central Interior Dry-Mesic Oak Forest and Woodland
All Transitions,13100_49,123.7678,0.1237678,North-Central Interior Dry-Mesic Oak Forest and Woodland
All Transitions,13100_51,116.4306,0.1164306,North-Central Interior Dry-Mesic Oak Forest and Woodland
All Transitions,13100_52,121.3408,0.1213408,North-Central Interior Dry-Mesic Oak Forest and Woodland
All Transitions,13110_39,91.914,0.091914,North-Central Interior Dry Oak Forest and Woodland
All Transitions,13110_42_43,119.8714,0.1198714,North-Central Interior Dry Oak Forest and Woodland
All Transitions,13110_44,81.9856,0.0819856,North-Central Interior Dry Oak Forest and Woodland
All Transitions,13110_49,115.4934,0.1154934,North-Central Interior Dry Oak Forest and Woodland
All Transitions,13110_50,81.0696,0.0810696,North-Central Interior Dry Oak Forest and Woodland
All Transitions,13110_51,121.5258,0.1215258,North-Central Interior Dry Oak Forest and Woodland
All Transitions,13110_52,114.5864,0.1145864,North-Central Interior Dry Oak Forest and Woodland
All Transitions,13120_44,305.1234,0.3051234,Ouachita Montane Oak Forest
All Transitions,13130_47_50_51,142.4086,0.1424086,North-Central Interior Beech-Maple Forest
All Transitions,13130_49_52_62,143.9708,0.1439708,North-Central Interior Beech-Maple Forest
All Transitions,13140_38_39_40_41_42_43_44_50,142.462,0.142462,North-Central Interior Maple-Basswood Forest
All Transitions,13140_49,142.673,0.142673,North-Central Interior Maple-Basswood Forest
All Transitions,13150_48_53_57_59_61,87.7014,0.0877014,Southern Appalachian Oak Forest
All Transitions,13160_54_57_59_61,47.8786,0.0478786,Southern Piedmont Mesic Forest
All Transitions,13160_60,47.4704,0.0474704,Southern Piedmont Mesic Forest
All Transitions,13170_48_53,178.5044,0.1785044,Allegheny-Cumberland Dry Oak Forest and Woodland
All Transitions,13170_57_61,112.9456,0.1129456,Allegheny-Cumberland Dry Oak Forest and Woodland
All Transitions,13170_62,130.1574,0.1301574,Allegheny-Cumberland Dry Oak Forest and Woodland
All Transitions,13180_48_53,21.8848,0.0218848,Southern and Central Appalachian Cove Forest
All Transitions,13180_57_59_61,30.8342,0.0308342,Southern and Central Appalachian Cove Forest
All Transitions,13200_48_57_61,69.1116,0.0691116,Central and Southern Appalachian Montane Oak Forest
All Transitions,13210_47_48_53_57,19.653,0.019653,South-Central Interior Mesophytic Forest
All Transitions,13210_49,6.7396,0.0067396,South-Central Interior Mesophytic Forest
All Transitions,13210_61_63,19.996,0.019996,South-Central Interior Mesophytic Forest
All Transitions,13210_62,7.5384,0.0075384,South-Central Interior Mesophytic Forest
All Transitions,13220_45,38.346,0.038346,Southern Crowley`s Ridge Mesic Loess Slope Forest
All Transitions,13230_32_36_37_44_45_98,72.8618,0.0728618,West Gulf Coastal Plain Mesic Hardwood Forest
All Transitions,13240_60_65_66,292.3536,0.2923536,Northern Atlantic Coastal Plain Hardwood Forest
All Transitions,13250_46_47_48,35.6582,0.0356582,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest
All Transitions,13260_47,229.177,0.229177,South-Central Interior/Upper Coastal Plain Flatwoods
All Transitions,13260_49,100.8948,0.1008948,South-Central Interior/Upper Coastal Plain Flatwoods
All Transitions,13270_45_46_47,18.0518,0.0180518,East Gulf Coastal Plain Northern Loess Bluff Forest
All Transitions,13280_46_99,165.6624,0.1656624,East Gulf Coastal Plain Limestone Forest
All Transitions,13290_45_46_99,31.9032,0.0319032,East Gulf Coastal Plain Southern Loess Bluff Forest
All Transitions,13300_46_48_54_55_56_99,165.1638,0.1651638,Southern Coastal Plain Dry Upland Hardwood Forest
All Transitions,13310_39_40_41,220.5218,0.2205218,Eastern Great Plains Tallgrass Aspen Parkland
All Transitions,13330_56,26.4994,0.0264994,South Florida Hardwood Hammock
All Transitions,13340_32_43_44,54.9248,0.0549248,Ozark-Ouachita Mesic Hardwood Forest
All Transitions,13350_55_58_60,165.7828,0.1657828,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest
All Transitions,13360_56,127.5092,0.1275092,Southwest Florida Coastal Strand and Maritime Hammock
All Transitions,13370_56,132.9858,0.1329858,Southeast Florida Coastal Strand and Maritime Hammock
All Transitions,13380_36,22.075,0.022075,Central and South Texas Coastal Fringe Forest and Woodland
All Transitions,13390_36_37_98,86.1208,0.0861208,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland
All Transitions,13400_61,20.0074,0.0200074,Appalachian Shale Barrens
All Transitions,13420_59,237.9602,0.2379602,Piedmont Hardpan Woodland and Forest
All Transitions,13430_54_55,35.3398,0.0353398,Atlantic Coastal Plain Mesic Hardwood Forest
All Transitions,13430_58_60,38.0138,0.0380138,Atlantic Coastal Plain Mesic Hardwood Forest
All Transitions,13440_41,13.075,0.013075,Boreal Jack Pine-Black Spruce Forest
All Transitions,13440_66,13.0478,0.0130478,Boreal Jack Pine-Black Spruce Forest
All Transitions,13441_51,193.2342,0.1932342,Boreal Jack Pine-Black Spruce Forest - Pine Barrens
All Transitions,13442_51,9.817,0.009817,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir
All Transitions,13460_54_55_58,253.639,0.253639,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland
All Transitions,13470_55_58_60,253.6098,0.2536098,Atlantic Coastal Plain Upland Longleaf Pine Woodland
All Transitions,13480_37_45_98,296.2166,0.2962166,West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland
