"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1952,45171,13770,64,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,46,50,4,"III-B",255,0,77,1,0,0.301961,10046,41.6
"2",1948,42052,13690,64,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745,9352,38.7
"3",1949,11245,13700,64,"13700_60_63_64_65_66","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1010,1122,-9999,531,53,47,-9999,"V-B",214,255,145,0.839216,1,0.568627,2501,10.3
"4",1957,3976,14720,64,"14720_64_65_66","Central Interior and Appalachian Riparian Systems","Riparian",984,-9999,198,165,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,884,3.7
"5",1943,2661,13020,64,"13020_64","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2108,-9999,-9999,2108,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,592,2.4
"6",1944,1485,13030,64,"13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,14,23,63,"I-B",215,185,100,0.843137,0.72549,0.392157,330,1.4
"7",11,840,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,187,0.8
"8",1947,511,13660,64,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,114,0.5
"9",1960,505,14790,64,"14790_60_61_63_64_65_66","Central Interior and Appalachian Swamp Systems","Riparian",1011,-9999,1353,578,57,-9999,43,"V-B",207,61,255,0.811765,0.239216,1,112,0.5
"10",1956,124,14710,64,"14710_64_65","Central Interior and Appalachian Floodplain Systems","Riparian",603,392,120,80,14,20,66,"III-A",0,191,176,0,0.74902,0.690196,28,0.1
"11",1964,101,15260,64,"15260_64_65_66","Laurentian-Acadian Swamp Systems","Riparian",1011,-9999,-9999,1011,100,-9999,-9999,"V-B",232,160,255,0.909804,0.627451,1,22,0.1
"12",1958,1,14750,64,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,0,0
"13",1962,8,14940,64,"14940_64","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",794,-9999,-9999,794,100,-9999,-9999,"V-B",0,168,107,0,0.658824,0.419608,2,0
