"","model_label","model_code","ref_label","ref_percent","bps_name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"36","13690_60_61_63_64_65_66_Agriculture","13690_60_61_63_64_65_66","Agriculture",0,"Central Appalachian Dry Oak-Pine Forest",1948,180,51,13690,64,42052,0
"37","13690_60_61_63_64_65_66_Developed","13690_60_61_63_64_65_66","Developed",0,"Central Appalachian Dry Oak-Pine Forest",1948,120,480,13690,64,42052,1
"38","13690_60_61_63_64_65_66_Water","13690_60_61_63_64_65_66","Water",0,"Central Appalachian Dry Oak-Pine Forest",NA,NA,NA,NA,NA,NA,NA
"39","13690_60_61_63_64_65_66_UN","13690_60_61_63_64_65_66","UN",0,"Central Appalachian Dry Oak-Pine Forest",1948,6,49,13690,64,42052,0
"40","13690_60_61_63_64_65_66_UE","13690_60_61_63_64_65_66","UE",0,"Central Appalachian Dry Oak-Pine Forest",1948,7,488,13690,64,42052,1
"41","13700_60_63_64_65_66_A","13700_60_63_64_65_66","A",9,"Appalachian (Hemlock-)Northern Hardwood Forest",1949,1,5,13700,64,11245,0
"42","13700_60_63_64_65_66_B","13700_60_63_64_65_66","B",14,"Appalachian (Hemlock-)Northern Hardwood Forest",1949,2,8939,13700,64,11245,79
"43","13700_60_63_64_65_66_C","13700_60_63_64_65_66","C",9,"Appalachian (Hemlock-)Northern Hardwood Forest",1949,3,1715,13700,64,11245,15
"44","13700_60_63_64_65_66_D","13700_60_63_64_65_66","D",68,"Appalachian (Hemlock-)Northern Hardwood Forest",1949,4,72,13700,64,11245,0
"45","13700_60_63_64_65_66_E","13700_60_63_64_65_66","E",NA,"Appalachian (Hemlock-)Northern Hardwood Forest",NA,NA,NA,NA,NA,NA,NA
"46","13700_60_63_64_65_66_Agriculture","13700_60_63_64_65_66","Agriculture",0,"Appalachian (Hemlock-)Northern Hardwood Forest",1949,180,11,13700,64,11245,0
"47","13700_60_63_64_65_66_Developed","13700_60_63_64_65_66","Developed",0,"Appalachian (Hemlock-)Northern Hardwood Forest",1949,120,329,13700,64,11245,2
"48","13700_60_63_64_65_66_Water","13700_60_63_64_65_66","Water",0,"Appalachian (Hemlock-)Northern Hardwood Forest",NA,NA,NA,NA,NA,NA,NA
"49","13700_60_63_64_65_66_UN","13700_60_63_64_65_66","UN",0,"Appalachian (Hemlock-)Northern Hardwood Forest",1949,6,11,13700,64,11245,0
"50","13700_60_63_64_65_66_UE","13700_60_63_64_65_66","UE",0,"Appalachian (Hemlock-)Northern Hardwood Forest",1949,7,163,13700,64,11245,1
"51","13770_60_61_63_64_65_66_A","13770_60_61_63_64_65_66","A",3,"Central Appalachian Pine-Oak Rocky Woodland",NA,NA,NA,NA,NA,NA,NA
"52","13770_60_61_63_64_65_66_B","13770_60_61_63_64_65_66","B",7,"Central Appalachian Pine-Oak Rocky Woodland",1952,2,509,13770,64,45171,1
"53","13770_60_61_63_64_65_66_C","13770_60_61_63_64_65_66","C",74,"Central Appalachian Pine-Oak Rocky Woodland",1952,3,35321,13770,64,45171,78
"54","13770_60_61_63_64_65_66_D","13770_60_61_63_64_65_66","D",16,"Central Appalachian Pine-Oak Rocky Woodland",1952,4,1164,13770,64,45171,2
"55","13770_60_61_63_64_65_66_E","13770_60_61_63_64_65_66","E",NA,"Central Appalachian Pine-Oak Rocky Woodland",NA,NA,NA,NA,NA,NA,NA
"56","13770_60_61_63_64_65_66_Agriculture","13770_60_61_63_64_65_66","Agriculture",0,"Central Appalachian Pine-Oak Rocky Woodland",1952,180,92,13770,64,45171,0
"57","13770_60_61_63_64_65_66_Developed","13770_60_61_63_64_65_66","Developed",0,"Central Appalachian Pine-Oak Rocky Woodland",1952,120,306,13770,64,45171,0
"58","13770_60_61_63_64_65_66_Water","13770_60_61_63_64_65_66","Water",0,"Central Appalachian Pine-Oak Rocky Woodland",NA,NA,NA,NA,NA,NA,NA
