"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"61",157,777,37393772,"Tree Cover = 57%",62,144,56,0.243137255,0.564705882,0.219607843,173,0.7
"62",158,872,41979971,"Tree Cover = 58%",60,139,55,0.235294118,0.545098039,0.215686275,194,0.8
"63",159,956,41088624,"Tree Cover = 59%",58,134,53,0.22745098,0.525490196,0.207843137,213,0.9
"64",160,1115,42475974,"Tree Cover = 60%",56,129,51,0.219607843,0.505882353,0.2,248,1
"65",161,1316,40083071,"Tree Cover = 61%",51,126,51,0.2,0.494117647,0.2,293,1.2
"66",162,1450,61145608,"Tree Cover = 62%",54,124,52,0.211764706,0.48627451,0.203921569,322,1.3
"67",163,1608,65035368,"Tree Cover = 63%",38,122,53,0.149019608,0.478431373,0.207843137,358,1.5
"68",164,1737,58918146,"Tree Cover = 64%",31,121,54,0.121568627,0.474509804,0.211764706,386,1.6
"69",165,1957,92045945,"Tree Cover = 65%",25,119,55,0.098039216,0.466666667,0.215686275,435,1.8
"70",166,2142,46599056,"Tree Cover = 66%",18,117,57,0.070588235,0.458823529,0.223529412,476,2
"71",167,2305,52048710,"Tree Cover = 67%",12,115,58,0.047058824,0.450980392,0.22745098,513,2.1
"72",168,2702,50476752,"Tree Cover = 68%",5,113,59,0.019607843,0.443137255,0.231372549,601,2.5
"73",169,3049,56630166,"Tree Cover = 69%",1,111,59,0.003921569,0.435294118,0.231372549,678,2.8
"74",170,3324,60247277,"Tree Cover = 70%",5,108,56,0.019607843,0.423529412,0.219607843,739,3.1
"75",171,3628,64736040,"Tree Cover = 71%",10,105,53,0.039215686,0.411764706,0.207843137,807,3.3
"76",172,4180,73461855,"Tree Cover = 72%",14,102,50,0.054901961,0.4,0.196078431,930,3.8
"77",173,4513,85671329,"Tree Cover = 73%",19,99,47,0.074509804,0.388235294,0.184313725,1004,4.2
"78",174,5082,70640964,"Tree Cover = 74%",23,95,43,0.090196078,0.37254902,0.168627451,1130,4.7
"79",175,5352,111573949,"Tree Cover = 75%",27,92,40,0.105882353,0.360784314,0.156862745,1190,4.9
"80",176,5567,80941492,"Tree Cover = 76%",32,89,37,0.125490196,0.349019608,0.145098039,1238,5.1
"81",177,5735,75012727,"Tree Cover = 77%",36,86,34,0.141176471,0.337254902,0.133333333,1275,5.3
"82",178,5493,70312103,"Tree Cover = 78%",33,85,34,0.129411765,0.333333333,0.133333333,1222,5.1
"83",179,5568,58184501,"Tree Cover = 79%",29,85,36,0.11372549,0.333333333,0.141176471,1238,5.1
"84",180,5406,53296555,"Tree Cover = 80%",25,85,37,0.098039216,0.333333333,0.145098039,1202,5
"85",181,5225,45540617,"Tree Cover = 81%",20,85,38,0.078431373,0.333333333,0.149019608,1162,4.8
"86",182,4601,36441038,"Tree Cover = 82%",16,84,40,0.062745098,0.329411765,0.156862745,1023,4.2
"87",183,4027,33185805,"Tree Cover = 83%",11,84,41,0.043137255,0.329411765,0.160784314,896,3.7
"88",184,3357,25434756,"Tree Cover = 84%",7,84,43,0.02745098,0.329411765,0.168627451,747,3.1
"89",185,2607,27728902,"Tree Cover = 85%",3,84,44,0.011764706,0.329411765,0.17254902,580,2.4
"90",186,1783,17949728,"Tree Cover = 86%",0,83,44,0,0.325490196,0.17254902,397,1.6
"91",187,1941,15980379,"Tree Cover = 87%",0,79,43,0,0.309803922,0.168627451,432,1.8
"92",188,449,8152661,"Tree Cover = 88%",0,76,41,0,0.298039216,0.160784314,100,0.4
"93",189,14,5662197,"Tree Cover = 89%",0,73,39,0,0.28627451,0.152941176,3,0
"94",228,1,144047060,"Shrub Cover = 28%",224,207,163,0.878431373,0.811764706,0.639215686,0,0
"95",234,1,63752727,"Shrub Cover = 34%",219,201,149,0.858823529,0.788235294,0.584313725,0,0
"96",235,1,54191785,"Shrub Cover = 35%",218,200,147,0.854901961,0.784313725,0.576470588,0,0
"97",236,2,55379015,"Shrub Cover = 36%",215,196,144,0.843137255,0.768627451,0.564705882,0,0
"98",238,1,25132650,"Shrub Cover = 38%",202,184,135,0.792156863,0.721568627,0.529411765,0,0
"99",239,4,20502197,"Shrub Cover = 39%",196,178,131,0.768627451,0.698039216,0.51372549,1,0
"100",240,1,19922659,"Shrub Cover = 40%",189,173,127,0.741176471,0.678431373,0.498039216,0,0
"101",241,4,10269941,"Shrub Cover = 41%",183,167,123,0.717647059,0.654901961,0.482352941,1,0
"102",245,2,7695545,"Shrub Cover = 45%",160,143,107,0.62745098,0.560784314,0.419607843,0,0
"103",246,1,14507437,"Shrub Cover = 46%",156,137,103,0.611764706,0.537254902,0.403921569,0,0
"104",247,1,4573545,"Shrub Cover = 47%",152,131,100,0.596078431,0.51372549,0.392156863,0,0
"105",250,1,3063665,"Shrub Cover = 50%",139,114,90,0.545098039,0.447058824,0.352941176,0,0
"106",251,1,4272681,"Shrub Cover = 51%",135,108,86,0.529411765,0.423529412,0.337254902,0,0
"107",253,1,1022387,"Shrub Cover = 53%",127,97,78,0.498039216,0.380392157,0.305882353,0,0
"108",254,1,3398299,"Shrub Cover = 54%",123,92,73,0.482352941,0.360784314,0.28627451,0,0
"109",257,1,643048,"Shrub Cover = 57%",112,78,58,0.439215686,0.305882353,0.22745098,0,0
"110",310,10,4929207,"Herb Cover = 10%",204,230,225,0.8,0.901960784,0.882352941,2,0
"111",311,2,1097137,"Herb Cover = 11%",201,228,223,0.788235294,0.894117647,0.874509804,0,0
"112",312,9,1425769,"Herb Cover = 12%",197,227,221,0.77254902,0.890196078,0.866666667,2,0
"113",313,4,1605474,"Herb Cover = 13%",194,225,219,0.760784314,0.882352941,0.858823529,1,0
"114",314,6,2092395,"Herb Cover = 14%",190,223,218,0.745098039,0.874509804,0.854901961,1,0
"115",315,3,1615771,"Herb Cover = 15%",187,222,215,0.733333333,0.870588235,0.843137255,1,0
"116",316,17,2501834,"Herb Cover = 16%",183,220,213,0.717647059,0.862745098,0.835294118,4,0
"117",317,6,2603161,"Herb Cover = 17%",180,218,211,0.705882353,0.854901961,0.82745098,1,0
"118",318,18,3108854,"Herb Cover = 18%",176,217,209,0.690196078,0.850980392,0.819607843,4,0
"119",319,9,3292426,"Herb Cover = 19%",173,215,207,0.678431373,0.843137255,0.811764706,2,0
"120",320,44,4374475,"Herb Cover = 20%",170,213,205,0.666666667,0.835294118,0.803921569,10,0
"121",321,11,2491584,"Herb Cover = 21%",166,211,203,0.650980392,0.82745098,0.796078431,2,0
"122",322,19,5390728,"Herb Cover = 22%",163,210,204,0.639215686,0.823529412,0.8,4,0
"123",323,8,5885321,"Herb Cover = 23%",159,208,199,0.623529412,0.815686275,0.780392157,2,0
"124",324,4,6222515,"Herb Cover = 24%",156,206,197,0.611764706,0.807843137,0.77254902,1,0
"125",325,5,19672273,"Herb Cover = 25%",152,205,195,0.596078431,0.803921569,0.764705882,1,0
"126",326,1,9794595,"Herb Cover = 26%",149,203,193,0.584313725,0.796078431,0.756862745,0,0
"127",327,8,4107617,"Herb Cover = 27%",146,201,191,0.57254902,0.788235294,0.749019608,2,0
"128",328,9,11995319,"Herb Cover = 28%",142,200,189,0.556862745,0.784313725,0.741176471,2,0
"129",329,14,16696258,"Herb Cover = 29%",139,198,187,0.545098039,0.776470588,0.733333333,3,0
"130",330,21,21420511,"Herb Cover = 30%",135,196,185,0.529411765,0.768627451,0.725490196,5,0
"131",331,12,26519145,"Herb Cover = 31%",132,195,183,0.517647059,0.764705882,0.717647059,3,0
"132",332,17,28320132,"Herb Cover = 32%",128,193,181,0.501960784,0.756862745,0.709803922,4,0
"133",333,10,4464835,"Herb Cover = 33%",125,191,178,0.490196078,0.749019608,0.698039216,2,0
"134",334,14,25757946,"Herb Cover = 34%",121,190,176,0.474509804,0.745098039,0.690196078,3,0
"135",335,10,50643114,"Herb Cover = 35%",118,188,174,0.462745098,0.737254902,0.682352941,2,0
"136",336,6,30326719,"Herb Cover = 36%",115,186,172,0.450980392,0.729411765,0.674509804,1,0
"137",337,6,35862323,"Herb Cover = 37%",111,184,170,0.435294118,0.721568627,0.666666667,1,0
"138",338,2,42373587,"Herb Cover = 38%",108,183,168,0.423529412,0.717647059,0.658823529,0,0
"139",339,2,9094270,"Herb Cover = 39%",104,181,166,0.407843137,0.709803922,0.650980392,0,0
"140",340,3,43249375,"Herb Cover = 40%",101,179,164,0.396078431,0.701960784,0.643137255,1,0
"141",341,1,37605691,"Herb Cover = 41%",97,178,162,0.380392157,0.698039216,0.635294118,0,0
"142",342,3,44578721,"Herb Cover = 42%",94,176,160,0.368627451,0.690196078,0.62745098,1,0
"143",343,4,46955429,"Herb Cover = 43%",91,174,158,0.356862745,0.682352941,0.619607843,1,0
"144",344,2,50023473,"Herb Cover = 44%",87,173,156,0.341176471,0.678431373,0.611764706,0,0
"145",345,6,22290833,"Herb Cover = 45%",84,171,154,0.329411765,0.670588235,0.603921569,1,0
"146",346,3,54216771,"Herb Cover = 46%",80,169,152,0.31372549,0.662745098,0.596078431,1,0
"147",347,6,53469325,"Herb Cover = 47%",77,168,150,0.301960784,0.658823529,0.588235294,1,0
"148",348,9,55173133,"Herb Cover = 48%",73,166,148,0.28627451,0.650980392,0.580392157,2,0
"149",349,2,56267676,"Herb Cover = 49%",70,164,146,0.274509804,0.643137255,0.57254902,0,0
"150",350,6,54396823,"Herb Cover = 50%",66,163,144,0.258823529,0.639215686,0.564705882,1,0
"151",351,3,18608296,"Herb Cover = 51%",63,161,142,0.247058824,0.631372549,0.556862745,1,0
"152",352,2,57078608,"Herb Cover = 52%",60,159,140,0.235294118,0.623529412,0.549019608,0,0
"153",353,4,53227170,"Herb Cover = 53%",56,158,138,0.219607843,0.619607843,0.541176471,1,0
"154",354,4,52182257,"Herb Cover = 54%",53,156,136,0.207843137,0.611764706,0.533333333,1,0
"155",355,67,389424507,"Herb Cover = 55%",49,154,134,0.192156863,0.603921569,0.525490196,15,0.1
"156",356,1,49731921,"Herb Cover = 56%",46,152,132,0.180392157,0.596078431,0.517647059,0,0
"157",357,1,19484636,"Herb Cover = 57%",42,151,130,0.164705882,0.592156863,0.509803922,0,0
"158",358,1,47124967,"Herb Cover = 58%",39,149,128,0.152941176,0.584313725,0.501960784,0,0
"159",361,2,39712972,"Herb Cover = 61%",29,144,122,0.11372549,0.564705882,0.478431373,0,0
"160",363,1,14131015,"Herb Cover = 63%",22,141,118,0.08627451,0.552941176,0.462745098,0,0
